,구분,질문,답변
10,팁,안녕하세요오피스텔 월세로 원룸을 구하구 있는데요중개수수료를 절약할수 있는 꿀팁있으신분들의 조언을 좀 구하고 싶어 글 남깁니다.,"안녕하세요. 박어상 공인중개사입니다.보통 원룸빌라의 기둥에 보시면, ""방있음"" ""주인직접""이라고 쓰인 전단지 광고물이 붙여져 있습니다.원룸, 투룸, 미니투룸 등의 방들을 직접보고, 옵션을 확인하고, 보증금과월세, 관리비와 공과금부담금, 주차비, 기타사항 등을 확인하고 쌍방 합의로 임대차를 계약 하는데요.그러면, 복비를 들이지 않고 방을 구하고 주인과 직접 계약하는 방식이 흔히 성행하고 있습니다.정말 착한 임대인, 합리적이고 공정한 임대인도 많이 있는 것은 사실 입니다.그러나, 저는 공인중개사라서가 아니라, 그냥 일반적인 관점에서 보아,  이런 주인 직접 거래방식을 결코 권유드리고 싶지 않습니다.중개수수료를 물더라도 등록된 공인중개사를 통해서, 권리관계, 깡통전세우려 배제, 하자발생항목 발생시의 대응, 확정일자 등 임대차 필수 기본사항을 철저히 첵크해서 책임중개, 안전거래 하시기를 추천드립니다.더구나 보즘금이 몇 천씩 하는 집(방)이라면, 잘못하면 한 순간에 분쟁에 휘말려 임대차 내내 또는 종료시 걱정덩어리 스트레스에 시달리는 수가 많다는걸 꼭 기억하시기 바랍니다.이상으로 답변에 가름합니다감사합니다"
11,팁,부동산가격이 많이 내렸네요그래서 부동산에 투자해보려  합니다무엇부터 공부해야 할까요?초보투자자인데 좋은 팁을 알려주세요부탁드려요,"안녕하세요. 박어상 공인중개사입니다.부동산 투자가 그저 이론만으로 안되고, 또 실전을 많이 한다고 다 성공하는 것도 아닌 것 같습니다.무엇을 공부해야하는 것보다는 일단 가장먼저 시드머니가 있어야하고, 그 다음에는 현장임장, 입지분석, 권리분석, 투자결정으로 이어지는데 여기에 어떤 왕도는 없는것 같습니다. 기본에 충실해야 하고, 부동산 경기리듬을 잘 타야 합니다.그 많은 영끌들이 해박한 부동산에 대한 지식과 식견으로 무장하여 투자에 올인했건만 고금리 경기에 무너지는걸 보면, 공부한다고 해서 누구든지 성공하는 건 아니고, 또 언제든지 성공하는 것만은 아닌거 같습니다. 조금씩 부분적으로 관심을 갖고 기본을 공부하고 익히며.# 큰 욕심부리지 말고 리듬을 타며 경험과 도전해 가다보면 성공할 수 있을 것이라고 말씀드리고 싶습니다."
12,팁,"안녕하세요.최근 재태크 열풍에 편승해 부동산, 주식 등 재태크열공 및 공모주 참여 등 다양한 투자를 병행하고 있습니다.최근 고민이 회사일이 바빠서 집중하고 야근하면 재태크에는 소홀히 되어서 공모주청약 및 직접 주식투자 이벤트나 이슈에 잘 대응 못하게 되는데 좋은 팁 없나요?","안녕하세요. 당찬고슴도치29입니다.투자라는 것은 대체로 미래에 내가 가지고 있는 자산이 증가하는 것을 가정하고 하는 것 입니다. 사람마다 기대하는 목표치, 기간이 다를 텐데 제테크 시장에서는 아무리 못 해도 최소 1년 이상 입니다. 진짜~~~~ 최소로 잡아도. 투자의 귀재로 알려진 워랜버핏의 유명한 명언 중 하나죠 ""10년 동안 보유할 주식이 아니면 10분도 가져가지 말라!"" 이 명언 처럼 세계에서 제일가는 투자자 조차도 10년은 보는데 일반인인 저희가 이벤트 상품, 특가상품 등등에 정신이 팔려 여기로 갔다가 저기로 갔다가, ""어! 오늘은 cpi 발표가 있네.""라며 허둥지둥 하면 안된다는 소리 입니다. 뭐 제가 뭐라고 이렇게 얘기 하냐.라고 할 수 있겠지만 많이 청산 당해본 입장으로 너무 세상의 이슈에 휘둘리지 말라라는 개인적인 생각이었습니다. 본업에 충실하시고  몇년이 지나도 상관없다 결혼, 집, 자동차, 대출 등 인생에 있어 크게 지출해야 하는 상황에도 보유 할 수 있는 그런 투자가 제가 생각하는 가장 안전한 투자인 것 같습니다."
13,팁,아직 학생신분인데 졸업후에 부동산 설계를 어떻게해야 할까요?? 처음 시작으로 무엇이 중요하고 공부는 어떤방향으로 해야할까요??? 혹시 답장하시는분께서 팁도 알려주시면 감사하겠습니다,"안녕하세요? 아하(Aha) 재무설계 분야 지식답변자 김재철CFP입니다.질문하신 내용에 대하여 아래와 같이 답변 드립니다.부동산에 대하여 항상 관심을 갖고 있으면 됩니다. 경제신문을 항상 구독해서 부동산 동향에 대해서 예의주시하면 더욱 좋을 것같아요. 언제나 관심을 가지고 기회를 엿보는 자에게 기회가 다가옵니다.청약저축은 기본으로 가입하시고, 분양공고에 대해서도 유심히 보시면 기회가 있으시길 거예요. 화이팅입니다."
14,팁,"저축과 투자를 놓고 고민중인 사회초년생입니다저축을 하고 있긴 하지만투자도 병행해야는게 좋은지어떤 투자(주식, 부동산 등)가 좋을지궁금해요","안녕하세요. 전중진 심리상담사/경제·금융/육아·아동전문가입니다.사회초년생이시라면 돈의 사용용도와 기한이 있을 것입니다.주식, 채권, 금, 예금, 코인 등 여러가지 자산에 대한 자산배분을 공부도 해보시고부동산청약같은 것도 염두해 두시고 청약저축에 가입도 하시길 바랍니다.투자는 소액으로 꾸준하게 평생 하신다는 습관을 가지시는 것이 좋습니다."
15,팁,자산투자로 토지에 투자를 해보려 하는데 잘 알지못해 자문을 얻고자 합니다.법적으로 꼭알고 구매해야 되는 법적자문이나 법률상식을 알고계신분은 좋은 팁을 알려주세요.,"안녕하세요. 박어상 공인중개사입니다.일반적인 기본적인 사항으로는 토지 등기부등본을 통하여, 가압류 가등기 여부와 소유권 관계를 확인합니다.을구에 근저당 채권최고액을 확인하고 매매잔금시까지 말소해지를 확인하시고요.계약을 체결하기 전에 주변거래사례를 통해 시세를 확인 비교분석하고, 임장을 통해 수목과 기타 지장물의 포함여부, 점유자의 여부, 경사도나 향후 개발가치 등을 분석하시고요.매매시는 반드시 소유자 본인과 대면 계약하시되,가능한 토지전문 부동산 공인중개사를 통하여 거래하시면 보다 안전하고 신뢰할 수 있습니다.간단히 답변에 갈음합니다감사합니다"
16,팁,"제목 그대로입니다.부동산 소개소 통해서 500/45짜리 오피스텔 월세로 임대하려는데, 소개비?는 얼마나 됩니까?그리고 사후 챙겨야할 서류?나 기타 팁좀 가르쳐 주세요. ex 확정일자 등등미리 감사드립니다.","안녕하세요. 유창효 공인중개사입니다.우선 보증금 500만원에 45만원 월세의 오피스텔이라면, 주거용이 아닌 경우 환상보증금은 5000만원이되고 여기에 0.9% 중개요율 적용시 45만원이 나오게 됩니다. 그리고 계약시 별도의 서류는 부동산에 챙겨주게 되므로 그 부분만 확인하시면 되고, 해당목적물을 인도받은뒤에는 해당주소로 사업자등록증 신고와 세무서를 통해 확정일자를 부여받으시면 됩니다,만약 용도가 주거용이며 실제 주거목적이라면 중개보수는 20만원을 넘지 않게 되고, 전입후에는 전입신고와 확정일자를 주민센터에서 신고및 부여받으시면 됩니다."
17,팁,"요즘 고금리 시대에 부동산 대출이율이 높기도 해서 혼인신고를 하면 나라에서 하는 대출받기 어려울 것 같은데 혼인신고 전에 집을 계약 하는게 맞을까요?혼인 신고 전에 꼭 하면 좋을 팁 알려주시면 감사하겠습니다!^^참고로, 전 지방에 거주합니다.(충청권)",안녕하세요. 유창효 공인중개사입니다.사실 금리나 임대차 조건이 좋은 공공관련 부분은 단독세대일때보다 신혼부부등에 적용되는 경우가 더 많기 때문에 꼭 결혼전에 무엇을 준비해야 한다거나 하지는 않아 보입니다. 그리고 혼인신고를 한다고 해서 대출한도나 승인이 더 어렵거나 하지는 않습니다.
18,팁,현재 우리나라의 상속세율이 최대 50%인데 이제는 서울에 아파트 한 채만 갖고 있어도 상속세를 위해 보유한 아파트를 팔아야 하는 상황입니다. 이에 부동산을 보유한 사람들을 위해 미리 상속세를 절감할 수 있는 유용한 팁 좀 부탁드립니다~!!,"안녕하세요? 아하(Aha) 세무·회계 분야 전문가 문용현세무사입니다. 질문하신 내용에 대하여 아래와 같이 답변 드립니다.상속세와 증여세의 세율은 동일하지만 상속세의 공제가 훨씬 큽니다. 상속인으로 자녀가 있으면 기본으로 5억을 공제해주고, 자녀+배우자가 있으면 10억 ~ 35억까지 공제가 가능합니다. 이에 반해 증여재산공제는 수증자가 자녀일 경우 10년간 5천만원 공제가 되며 수증자가 배우자일 경우, 6억 원이 공제됩니다. 따라서 일반적으로는 상속이 증여보다 유리합니다.다만, 상속재산이 상속공제액을 초과하여 납부할 상속세가 많다면 사전증여를 통해서 상속세를 줄이는 것이 중요합니다. 상속일 전 10년 이내 상속인에게 증여한 재산은 상속재산에 다시 가산하여 상속세를 계산하기 때문에 의미가 없을 수 있으므로, 최소 사망 예정일 10년 이전부터 사전 증여계획을 수립하여 상속인들에게 사전증여를 하는 것이 중요합니다.도움이 되셨길 바랍니다. 감사합니다."
19,팁,안녕하세요.2023 1/20에 계약 만료였는데..묵시적 갱신으로 자동 연장 하려고 하다가..그냥 방 뺄려고 2023 1/17일에 통보드렸거든요..집주인은 우선 부동산에 방 올리고 방 빠지면 계약금을 돌려준다고 하는데.. 안빠질 경우 4/17일에는 무조건 준다고 하네요.  좀 빨리 돌려 받을 수 있는 팁 없을까여?,안녕하세요. 유창효 공인중개사입니다.묵시적 갱신이후 임차인의 계약해지 요구시 임대인은 통보받은 뒤 3개월 후 계약은 종료되므로 현 상황으로 진행되는 것이 맞아 보입니다. 보증금을 이보다 빨리 받기 위해서는 다음 임차인을 빠르게 구하는 방법 외에는 없을 듯 보입니다.
20,팁,본인의 집을 구하는 것은 더욱 어려워 졌고 비싸졌습니다. 그렇기에 주거를 위한 내 집 마련을 할때 고려해야하는 사항과 입지가 좋은 곳이 어떤 곳을 말하는지...저평가가 됐다 라고 판단할 수 있는 근거(팁)를 알려주시면 감사하겠습니다 ㅠ,"안녕하세요. 이상훈 공인중개사입니다.좋은 입지의 요건은 보통 학군,교통(접근성)자연친화(숲,강) 등을 말합니다.수도권의 경우 지하철역이 몇호선 을 지나는역까지는 얼마나 가까운지가 중요한 요소입니다학군과 자연의 근접성 또한 매우 중요한 요소입니다.답변이 되었음 좋겠습니다. 감사합니다."
21,팁,깡통전세 사기전세 이야기가 많이 나오고  부동산 시장이 얼어붙어있어서  부동산투자를  지금 사람들이 안할때 하는게  맞다는 생각이 듭니다. 그즌ㅇ에도 경매시장에 관심이 많이가는데 아는게  많이 없어서 선뜻 다가가기가  힘드네요. 부동산경매를 할때  주의해야할 사항  및  어떤부분을 보고  경매를 참여해야하는중 팁이 있으시면 공유부탁드립니다.,안녕하세요. 이철영 공인중개사입니다.아무래도 경매는 가격이죠말소기준권리 파악을 잘하셔야하구요 임장은 필수입니다 권리사항만 보고 임장 안갔다가 유치권이라도 있으면 낭패입니다진성인지 확인도 잘하셔야하구요 아니면 유치권이 있으면 안건들이는게 좋습니다 빚을지고 타의로 경매가 나온 만큼 명도하는것도 보통일이 아닙니다 나갈때 집을개판으로 해갈수도 있구요 잘하시면 돈이 되겠지만 스트레스도 이만저만 아닙니다
22,팁,안녕하세요 저의 부모님은 작은 상가를 가지고 계신데 얼마전 부가가치세 신고를 할려고 하니 세금이 약50만원 나오더라구요 (간이 과세자이십니다.)건물 보증금 7000만원에 월세는 110만원정도 받는데 세금을 절세하는 방법이 궁금합니다.제가 직접 신고를 했는데 중간 중간에 공제라는 부분이 있었는데 어떤 부분을 넣어야 할지 애매해서 공란으로 비웠더니50만원정도 세금이 나왔습니다.작은 팁이라도 알려주시면 감사하겠습니다^^,"안녕하세요. 최영 세무사입니다.부동산임대업의 경우 일단 관련비용을 빠뜨리지 말고 챙겨서 반영하여야 할 것입니다 일반적으로 인건비, 접대비, 엘리베이터 등 건물에 대한 수선비, 재산세와 종합부동산세, 관련대출에 대한 이자비용, 감가상각비, 소모품비등이 부동산임대업의 필요경비에 해당하겠습니다.또한 적용가능한 소득, 세액공제를 챙기면 좋습니다. 노란우산공제, 연금저축세액공제등은 사업자 소득, 세액공제가 가능하기 때문에 이부분도 가입가능하면 세액절감이 가능합니다."
23,팁,"안녕하세요.지인의 부탁으로 문의 드리기 위해 글을 올리게 되었습니다.만약 2채의 집을 가지고 있고,2006년 취득, 3년 실 거주, 매매가 2억, 빌라2014년 취득, 6년 실 거주, 매매가 6억, 아파트인 경우 주택을 파는 순서가 양도세에 영향을 주게 되는지 궁금합니다. 만약 영향을 준다면 어느 것을 먼저 파는 것이 좋을지요?참고로 위의 정보 이외에 추가로 양도세를 절세할수 있는 팁이나 정보가 필요하신 것이 있으면 댓글 부탁 드립니다.그리고 위의 주택을 취득하면서 낸 인테리어 비용, 취득세, 은행 이자, 법무사 비용, 부동산 비용등은 양도세차익에서 공제가 가능한 것인지요? 가능하다면 어떤 증빙이 필요할지요?감사합니다.","안녕하세요? 아하(Aha) 세무·회계 분야 전문가 전영혁세무사입니다. 질문하신 내용에 대하여 아래와 같이 답변 드립니다.위의 정보 외에도 해당 자산의 양도차익이 어느 정도까지 발생할 수 있는지, 두 주택이 조정대상지역에 위치하는 지 에 따라 그 세율과 세액이 크게 차이나므로 위 정보만으로는 판단이 불가능합니다. 다만 두 번째 주택을 취득한 날이 상당히 오래됐기 때문에 일시적 1세대 2주택 비과세 규정은 적용받기 힘드시며, 위의 사안에서도 두 주택의 위치가 조정대상지역이 모두 아니라면 양도차익이 가장 적게 나는 주택부터 양도하셔서 양도소득세를 최소화하시고, 양도소득세가 크게 발생하는 주택을 1세대 1주택 비과세규정을 적용받아 양도하시는 것이 유리할 것입니다.위의 주택 취득 비용 중에서도 내부 실내 인테리어 비용은 인정받기 쉽지 않으나, 취득세, 법무사 비용, 중개비용은 취득가액에 가산할 수 있습니다. 다만 이자비용의 경우에는 취득과 관련없이 '보유'에 따른 지출이므로 비용인정받지 못하며, 증빙으로는 세금계산서, 현금영수증, 기타 증빙가능한 명세서와 출금내역이 있습니다."
24,팁,이제 곧 이사갈 예정인데집 잘 고르는 법 좀 알려주세요부동산 분과 보증금이나 월세 낮추는 자신만의 꿀팁..? 도 부탁드려요맨날 계약하려고 보면 월세에 +a가 붙어서요(관리비x),안녕하세요. 고귀한청설모90입니다. 집주인마다 개인 시정이 있기에 월세를 낮추어달라고 부탁학고 대신에 보중금을 조금 올리는것도 하나의 방법이라 생각합니다
25,팁,제가 이번에 소형 오피스텔 매매를 하려고 하는데요부동산 매매가 처음이라 잘몰라서요 오피스텔 매매할때 주의할점 이나 좋은 오피스텔 매매 할수 있는 꿀팁이있을까요?,"안녕하세요. 고경훈 공인중개사/행정사입니다. 질문에 답변드리겟습니다. 오피스텔을 매수할려면 가급적 급매물위주로 매수를 하시는 것이 적절해 보입니다. 또한 해당 오피스텔 주변 상권이 형성되어 있는지 등을 종합적으로 검토가 필요해 보입니다. 검토사항으로 주변 상권, 브랜드명, 가격적인 측면 등을 고려해야 합니다."
26,팁,얼마전 방송기사를 보니 부동산업체를 통해 전세계약을 했는데도 불구하고 다가구소유자에게 사기를 당해서 고통 받는 분들이 많더라고요. 초보도 꼭 집과 넘어가야 하는 꿀팁 알려주세요.,"안녕하세요. 곽대영 공인중개사입니다.전세사기는 대체로 두가지 형태입니다.소유주나 권리를 변동시켜 대놓고 사기를 치자고 마음 먹은 유형과 불가피하게 부동산경기가 안좋아져서 전세가보다 매매가가 낮아지는 역전세가 되어 보증금을 돌려줄 수 없는 형태가 있습니다.전자는 소유주 확인을 잘 하시고, 전입당일까지 소유주변경이나 근저당등의 등기상 권리 변동이 없을것에 대한 특약정도를 쓰시면 일이 터져도 대처는 가능합니다.후자는 일명 깡통전세로 가급적이면 매매가에 근접한 전세는 계약하지 마시고, 보증보험에 가입 가능한 집을 위주로 계약하시는것이 좋습니다.물론 위의 내용들을 따지다보면 계약집이 현저히 적어지는 문제도 있겠으나, 적어도 전세사기는 어느정도 예방 가능합니다.또한 부동산을 통해서 집을 알아보실때는 광고를 보고 집을 보러 가시더라도 그 지역 주변 부동산을 이용하시는것이 좋습니다.멀리 있는 부동산(차로 30분이상거리)에서도 광고를 많이 하기는 하나 그런 부동산들은 일명 컨설팅 부동산으로 활동하는 부동산이 많고, 아니더라도 시세에 대한 안내 측면에서 주변 부동산에 비해 좀 떨어지는 면이 있습니다."
27,팁,처음 매도하는거다 보니잘 모르겠네요? 부동산에 올리고기다리면서 뭘 준비해야 할까요?그리고 집 잘나가게 하는 팁이 있나요? ?,"안녕하세요. 서주환 공인중개사입니다.물건 주변 공인중개사에게 물건을 내놓구 기다리는 방법이 일반적입니다.가장 빠르게 매도 하기 위해서는 가격적인 측면, 실내 인테리어 및 정리정돈 상태 일듯 합니다.사람의 눈은 비슷하기에 보기 좋구, 깨끗하고, 인테리어가 잘 되어 있다면 아무래도 관심이 높아 지기 때문입니다."
28,팁,최근 부동산에 관심이 많아 매매 또는 전세 물건을 많이 보게 됩니다. 이사갈때가 되었거든요..ㅠㅠ 근데 동일 아파트 단지인데 가격이 천차 만별이던데. 명당을 고르는 팁은 무엇일까요? 막상 살아보면 왜 그런지 조금은 알것 같은데 살아 보지 않고 고를수 있는 방법 또는 부동산에 방문시 명당을 추천 받을수 있는 팁이 있으면 알려 주세요,"안녕하세요. 강태호 공인중개사입니다.동호수에 따라 가격이 차이나는 것은 여러가지 이유가 있습니다.같은 아파트이지만 평수 차이, 교통, 주변 상권, 일조권 보장 등으로가격 차이가 발생할 수 있으며명당이라고 말할 것까지는 아니지만일조권이 잘 보장되고 교통 접근성이 좋은 곳을 찾는 것이 좋습니다."
29,팁,평범한 직장인으로서 알맞는 제테크는어떤것을 추천받을 수 있을까요 ?주식 부동산등 우리가 일상적으로 알고있는분야 이외에대한 팁이 있다면 소개받고싶습니다 .,"안녕하세요. 최진솔 경제·금융전문가입니다.요즘은 재테크를 하기 매우 어려운 환경입니다.이에 따라, 가능한 예금이나 적금위주로 예테크를 하시는 분들이 많은 것으로 알고 있습니다.혹은 주식에 대하여 조예가 깊으시면, 분할매수로 추후 상승장을 기다리시거나 혹은 인버스 상품을 통하여 수익을 보실 수 있습니다.답변이 도움되셨으면 합니다. 감사합니다."
30,팁,"저축을 위해 어떤 방식으로 돈을 절약할 수 있는지 알고 싶습니다. 생활비 절감, 지출 관리, 부동산/주식 등의 투자 방법 등 절약과 관련된 다양한 팁과 전략에 대해 조언 부탁드립니다","안녕하세요. 류경태 경제·금융전문가입니다.돈을 절약하는 가장 좋은 방법은 지출을 통제하는 방법부터 시작한다고 합니다. 이 지출을 통제하기 위해서는 내가 어떤 항목에 돈을 지출하고 있는지를 확인해야 하기 때문에 가계부를 따로 작성하시거나 혹은 가계부 어플을 사용해주시는 것이 좋습니다.이렇게 사용하시는 지출처를 확인하시게 되면 '변동비용', '고정비용'으로 분류를 해주시고 나머지 자금은 모두 저축자금으로 돌려주시는 것이 좋습니다. 고정비용은 더이상 비용을 줄이기 힘드신 비용이기 때문에 변동비용의 세부항목을 보시고 비용을 줄이실 수 있는 것을 확인해주셔야 합니다.그리고 이렇게 비목을 나누게 되었다면 각 비목별로 통장을 따로 개설해서 관리를 해주시는 것이 좋습니다. '월급통장', '변동지출통장','고정지출통장' '저축' 이렇게 4자리로 분류를 해주시고, 월급이 입금되자마자 변동비와 고정비 통장으로 입금을 해주세요. 이런 통장들은 '파킹통장'을 이용하시는 것이 효율적입니다.그리고 저축의 경우에는 질문자님의 성향에 맞게 따로 설정을 하셔야 하다 보니 이 부분은 생략하도록 할게요.답변이 도움이 되었다면 좋겠습니다. 좋은 하루 되세요!"
31,팁,거주중인 아파트 매매하고 집을 비워줘야합니다.전세로 2년 있을 예정인데 계약때 주의해야할점 또는 이런집은 피해라!! 꿀팁 있으시면 알려주세요요즘 부동산 하락으로 깡통전세도 많다고 하는데 보증보험 가입도 어려워 보입니다.주의사항 및 피해야하는 집 있으면 지식기부 부탁드립니다.,"안녕하세요. 강태호 공인중개사입니다.요즘 깡통전세 등 전세사기가 기승을 부리고 있습니다.전세 사기를 최소화 하기 위해서는 아래 항목을 꼼꼼하게 체크해주시면 될 것 같습니다.1. 등기부부본을 직접 발급 받아서 반드시 내용 확인 (집주인 인적사항, 근저당 설정/압류 등 확인)2. 신분증 진위 확인 및 실소유권자와 직접 만나서 계약하기3. 전입신고 및 확정일자 받기4. 전세금 반환 보증보험 가입하기5. 공인중개사 신분 조회 (국가공간정보포탈에서 조회)6. 근저당 금액이 매매가의 20% 초과시 계약하지 않기7. 계약 전 건축물대장을 확인하여 불법적인 용도변경이 있는지 확인하기8. 전입신고나 확정일자 미뤄달라고 요구할 시 의심하기 (집주인이 확정일자 전에 근저당을 설정할 수 있음)9. 전세대출이 안된다고 해도 대출이 나오는 건물인지 확인해보기10. 주변 전세시세말고 매매시세도 꼭 같이 확인하기 (깡통전세 사기 방지)"
